Therapy Session,NF
3001: A Laced Odyssey,Flatbush Zombies
Impossible Kid,Aesop Rock
Popstar,The Lonely Island
The Sun's Tirade,Isaiah Rashad
Straight Outta Compton Motion Picture,Various
The Silent Partner,Havoc
Purple Heart,Sevin
TGOD Mafia Rude Awakening,Juicy J
and the ANONYMOUS NOBODY,De La Soul
Rich Crack Baby,Young Dolph
The Long Way,Sammy Adams
Big Baby D.R.A.M.,D.R.A.M.
Church In These Streets,Jeezy
Us Or Else,T.I.
MartyrLoserKing,Saul Williams
What I Do All Day & Pickle,Kosha Dillz
The Casket Factory,Blaze Ya Dead Homie
Khalifa,Wiz Khalifa
AM,Mac Miller
With Love,Phora
4 Indictments,MO3
Hempire,Berner
Dreams Worth More Than Money,Meek Mill
Slime Season 3,Young Thug
Cozy Tapes Vol. 1: Friends,A$AP Mob
Blank Face LP,ScHoolboy Q
Yes Lawd!,NxWorries
untitled unmastered.,Kendrick Lamar
Mutant Remixed & Remastered,Twiztid
Savage Mode,21 Savage
DS2,Future
The Diary,J Dilla
Lyric Ave,K Camp
x Infinity,Watsky
Top 5 Dead Or Alive,Jadakiss
Young Jefe 2,Shy Glizzy
FREE 6LACK,6LACK
What A Time To Be Alive,Drake
You Are Forgiven,MadeinTYO
The Divine Feminine,Mac Miller
Real Niggas Back In Style,Philthy Rich
Bobby Tarantino,Logic
The Easy Truth,Apollo Brown
The Return Of Chief Lucas,Don Chief
Canal Street Confidential,Curren$Y
Cold Summer,DJ Mustard
Thug Talk,Boosie BadAzz
Happy Camper,Hoodie Allen
Furious 7,Various
Free TC,Ty Dolla $ign
It's Complicated,Da' T.R.U.T.H.
Church Clothes 3,Lecrae
The Art Of Hustle,Yo Gotti
As Seen On The Internet,FUTURISTIC
King Of Memphis,Young Dolph
Always Strive And Prosper,A$AP Ferg
Lost In Smoke 2,King Lil G
The Misfit Generation,Social Club Misfits
Lil Uzi Vert Vs. The World,Lil Uzi Vert
The Letter O,Dame D.O.L.L.A.
Reflection,Derek Minor
AT.LONG.LAST.A$AP,A$AP Rocky
The D-Boy Diary Deluxe Edition,E-40
Quality Street Music 2,DJ Drama
SremmLife,Rae Sremmurd
The Passover,Eshon Burgundy
There's Alot Going On,Vic Mensa
My House,Flo Rida
EVOL,Future
Under Pressure,Logic
Los Favoritos,Arcangel
Strangeulation II,Tech N9ne Collabos
The Incredible True Story,Logic
Mansion,NF
I'm Up,Young Thug
Half Way There... Pt 1,Snow Tha Product
Lil Durk 2X,Lil Durk
Contact,Lex The Hex Master
The Documentary 2 + 2.5: Collector's Edition,The Game
Konnichiwa,Skepta
More Than Ever,Sims
The Head That Wears The Crown,Don Trip
Crowns & Crosses,BIzzle
Genesis,Domo Genesis
Still Brazy,YG
Handshakes With Snakes,Apathy
Go,Krizz Kaliko
Streets Of Compton,The Game
Black America Again,Common
Professional Rapper,Lil Dicky
H.O.G.,Big Scoob
My Filthy Spirit Bomb,G-Mo Skee
This Unruly Mess I've Made,Macklemore
Revenge Of The Dreamers II,Various Artists
The Narrative,Sho Baraka
Alone Together,Skizzy Mars
Campaign,Ty Dolla $ign
The Healing Component,Mick Jenkins
Long Live The Pimp,Pimp C
Radical $Uicide,$uicideBoy$
In My Feelings. ( Goin' Thru It ),Boosie BadAzz
MMM,Puff Daddy
Blanco Perla,Cosculluela
Chicken Willie,Upchurch
No Hard Feelings,Dreezy
TWENTY88,TWENTY88
The MOBB,MOBB
Heat 1,7deucedeuce
Birds In The Trap Sing McKnight,Travis Scott
Out My Feelings In My Past,Boosie BadAzz
Anything But Words,Banks
These Days,Mike Stud
Islah,Kevin Gates
Son Of A Pimp Pt 2,Mistah FAB
Wish Me Well 2,YFN Lucci
Rodeo,Travi$ Scott
Blacc Hollywood,Wiz Khalifa
I'm Not A Rapper,Jamesthemormon
Gangsta Bitch Music Vol. 1,Cardi B
Mr. Blue Benjamin,Peewee Longway
Splendor & Misery,Clipping.
A Fistful Of Peril,CZARFACE
Views,Drake
Bleek Mode Thug In Peace Lil Bleek,Boosie BadAzz
Coolaid,Snoop Dogg
If You're Reading This It's Too Late,Drake
Creed,Various
I Told You,Tory Lanez
Ride The Stars,Zodiac Mprint
American King,Slim Thug
To Pimp A Butterfly,Kendrick Lamar
JEFFERY,Young Thug
Tha Truth Pt 2,Trae Tha Truth
Wisdom And Good Vibes,Dizzy Wright
Rage & The Machine,Joe Budden
See You On The Other Side,Bernz
Prima Donna,Vince Staples
Young Fel,Felly
DC4,Meek Mill
Shottaz Reloaded,MO3
This Time Around,Tedashii
King Push,Pusha T
Sremmlife 2,Rae Sremmurd
The Roar,Datin
Viejo Marihuano,Cartel de Santa
Welcome To Dodge City,The Lacs
Rosecrans,DJ Quik  Problem
New English,Desiigner
Fire In The Church,Montana Of 300
General Admission,Machine Gun Kelly
Lead Poison,Elzhi
Hamilton Original Broadway Cast Recording,Various
Murder For Hire 2,Kevin Gates
Top Of The Line,Rittz
Eraser Shavings,Token
Legends Never Die,Chinx
Fetty Wap,Fetty Wap
The Life Of Pablo,Kanye West
Fishing Blues,Atmosphere
Drink More Water 6,I LOVE MAKONNEN
AIM,M.I.A.
The Documentary 2,The Game
Too High To Riot,Bas
We Got It From Here...Thank You 4 Your Service,A Tribe Called Quest
Layers,Royce Da 5'9"
Prohibition Pt 3,Berner
The Godfather,Mista Cain
Savage Life V,Webbie
Cut The Body Loose,Astronautalis
When It's Dark Out,G-Eazy
Don't Smoke Rock,Smoke DZA
Summer In The Winter,Kid Ink
Underground Underdog,Pouya
The Hamilton Mixtape,Various Artists
The 702 EP,Dizzy Wright
Drankin & Drivin,Z - Ro
Kairi Chanel,Dave East
Legendary,Z - Ro
Life Sentence 3,Lightshow
The Perfect LUV Tape,Lil Uzi Vert
Black Market,Rick Ross
Trap Or Die 3,Jeezy
To Thine Own Self Be True,La Coka Nostra
Good Religion,Dream Junkies
Americana,Ruslan
Ambition,337 Mafia
Peach Panther,RiFF RaFF
The Documentary 2.5,The Game
Mud Digger 7,Various
Mandatory Check,Mozzy
Block Wars,The Game
We The People,Big Smo
1992,The Game
Atrocity Exhibition,Danny Brown
Cornerstone Of The Corner,Vinnie Paz
Divine Feminine,Mac Miller
ColleGrove,2 Chainz
2014 Forest Hills Drive,J. Cole
TBA,A Boogie Wit da Hoodie
Keep Up,KSI
Statik Kxng,Statik Kxng
Major Key,DJ Khaled
Coast 2 Coast,FUTURISTIC
Red Friday,YG
Dirtified,Lenny Cooper
Penitentiary Chances,Boosie BadAzz And C-Murder
The Cure,Square Bizzy
Everybody Looking,Gucci Mane
