source,target,weight,type
Tish Hyman,Pusha T,1,undirected
Sia,Queen Latifah,1,undirected
Skizzy Mars,Chose,1,undirected
Nas,Lin-Manuel Miranda,1,undirected
DJ Mustard,YG,3,undirected
Machine Gun Kelly,Lzzy Hale,1,undirected
Bun B,8Ball,1,undirected
HG Free,Sione Toki,1,undirected
Yo Gotti,Lil Durk,1,undirected
Big Scoob,Boogie Man,3,undirected
Joe Fox,M.I.A.,1,undirected
Wyclef Jean,Young Thug,1,undirected
Ty Dolla $ign,Chevy Woods,1,undirected
J Alvarez,Arcangel,1,undirected
Meek Mill,T.I.,1,undirected
"Tyler, The Creator",A$AP Rocky,1,undirected
Stefan Otto,Datin,1,undirected
Ñejo,Cosculluela,1,undirected
Royce Da 5'9",Mr. Porter,1,undirected
JMSN,Domo Genesis,1,undirected
Future,Kevin Gates,1,undirected
Donald Glover,Ludwig Goransson,1,undirected
Carlene Crawford,John Givez,1,undirected
Blac Youngsta,Philthy Rich,1,undirected
Travis Scott,Gucci Mane,1,undirected
Ice Cube,The Game,1,undirected
DJ Luian,De La Ghetto,1,undirected
Juicy J,Travis Scott,1,undirected
The Roots,Jimmy Fallon,1,undirected
Mozzy,Kunta,3,undirected
Diddy,Kanye West,1,undirected
Ty Dolla $ign,TC,1,undirected
Big Marcus,Square Bizzy,1,undirected
Renee Elise Goldsberry,Jasmine Cephas-Jones,1,undirected
Trae Tha Truth,Rick Ross,1,undirected
Cosculluela,Daddy Yankee,1,undirected
Grandmaster Caz,Macklemore & Ryan Lewis,1,undirected
Ludwig Goransson,Jhene Aiko,2,undirected
Trae Tha Truth,T.I.,2,undirected
Moonshine Bandits,Bubba Sparxxx,1,undirected
Square Bizzy,Marcellus Scott,1,undirected
Mistah F.A.B.,Berner,1,undirected
Ronald Isley,Kendrick Lamar,1,undirected
Q-Tip,Mobb Deep,1,undirected
Pumpkinhead,Celph Titled,1,undirected
Ab-Soul,Danny Brown,1,undirected
Mistah F.A.B.,Snoop Dogg,1,undirected
Duke,Yak Gotti,1,undirected
Ab Liva,Pusha T,1,undirected
Bernz,Helen Tess,1,undirected
Rae Sremmurd,Lil Jon,2,undirected
Common,Bilal,4,undirected
MJG,Pimp C,1,undirected
CES Cru,Krizz Kaliko,1,undirected
Isaac Lund,7deucedeuce,2,undirected
Scrufizzer,KSI,1,undirected
Common,Stevie Wonder,1,undirected
Kunta,Sleepy D,2,undirected
Killer Mike,T.I.,1,undirected
Jadakiss,Sheek Louch,1,undirected
Big Smo,Josie Dunne,1,undirected
Domo Genesis,Anderson .Paak,1,undirected
Godemis,Stevie Stone,1,undirected
The Game,Dr. Dre,2,undirected
Sevyn Streeter,DJ Quik,1,undirected
Mozzy,Bandgang,1,undirected
Chinx,Chrisette Michele,1,undirected
Ghostface Killah,Banks & Steelz,1,undirected
LoLife Blacc,Peewee Longway,1,undirected
Tech N9ne,Bernz,2,undirected
Nas,Dave East,1,undirected
Beleaf,Ruslan,12,undirected
Vinnie Paz,Malik B.,1,undirected
Murs,Ruslan,1,undirected
Isaiah Rashad,Kendrick Lamar,1,undirected
Young T,K.E.L.L.S.,1,undirected
Future,Juicy J,1,undirected
Burnt Out,Marley Blu,1,undirected
YG,Young Thug,1,undirected
Missy Elliott,A$AP Ferg,1,undirected
Diddy,Sevyn Streeter,1,undirected
Domo Genesis,Da$H,1,undirected
Futuristic,Goody Grace,1,undirected
Lil Blood,Icewear Vezzo,1,undirected
Macklemore & Ryan Lewis,Eric Nally,1,undirected
Post Malone,DJ Drama,1,undirected
Ty Dolla $ign,Jamie Foxx,1,undirected
Vakero,Arcangel,1,undirected
Melanie Rutherford,Royce Da 5'9",1,undirected
Lin-Manuel Miranda,Renee Elise Goldsberry,3,undirected
Eshon Burgundy,Stef Silva,1,undirected
Bizzle,Selah the Corner,1,undirected
De La Soul,Damon Albarn,1,undirected
Rick Ross,Chris Brown,2,undirected
Wiz Khalifa,BJ The Chicago Kid,1,undirected
The Weeknd,Travis Scott,1,undirected
Atmosphere,Doom,1,undirected
French Montana,Movado,1,undirected
G Mo Skee,Kuzzn Bank,1,undirected
Billy Danze,Lex the Hex Master,1,undirected
The Game,Jeremih,1,undirected
Nas,Aloe Blacc,1,undirected
Phillipa Soo,Leslie Odom Jr.,4,undirected
Ohana Bam,Snow Tha Product,1,undirected
Wiz Khalifa,B-Real,2,undirected
Vince Staples,A$AP Rocky,1,undirected
Kunta,Noni Blanco,1,undirected
Wrekonize,Big Scoob,1,undirected
Grace,G-Eazy,1,undirected
Ty Dolla $ign,Rae Sremmurd,1,undirected
Kunta,TaeDaKiid,1,undirected
Janice Gaines,Derek Minor,1,undirected
Sasha Hutchings,Lin-Manuel Miranda,1,undirected
Curren$y,Corner Boy P,1,undirected
Datin,Genesis The Grey Kid,1,undirected
Moonshine Bandits,Demun Jones,1,undirected
Meek Mill,Young Thug,1,undirected
Wrekonize,Krizz Kaliko,1,undirected
Mozzy,Tone ..C,1,undirected
JL B.Hood,Rittz,1,undirected
Rich Homie Quan,Jeezy,1,undirected
Lil Wayne,Yo Gotti,1,undirected
Kanye West,The-Dream,1,undirected
The Game,Future,2,undirected
A$AP Twelvyy,A$Ap Ant,1,undirected
Rafael Casal,Chinaka Hodge,1,undirected
Arcangel,Wisin,1,undirected
Jeremih,Snoop Dogg,1,undirected
Datin,Dre Murray,1,undirected
Mozzy,Lil Goofy,1,undirected
Future,Pusha T,1,undirected
Wale,DJ Khaled,1,undirected
K CAMP,Berner,1,undirected
CES Cru,JL B.Hood,1,undirected
Tech N9ne,Tech N9ne Collabos,2,undirected
Yo Gotti,K. Michelle,1,undirected
Ty Dolla $ign,TeeCee4800,1,undirected
Rome Fortune,Skizzy Mars,1,undirected
Dream Junkies,Beleaf,12,undirected
Smoke Dza,Big K.R.I.T.,1,undirected
2Meka,Cuttyboy G Dinero,1,undirected
Montana of 300,J-Real,2,undirected
Z-Ro,Just Brittany,1,undirected
Tory Lanez,King Lil G,1,undirected
Bizzle,Tony Gaskins,1,undirected
ESG,Slim Thug,1,undirected
Mekado,Desiigner,1,undirected
Yakki,DJ Drama,1,undirected
Futuristic,Hopsin,1,undirected
Ty Dolla $ign,Sa-Ra,1,undirected
Datin,Sevin,4,undirected
Buddy,A$AP Mob,1,undirected
Ty Dolla $ign,Jay 305,2,undirected
Jadakiss,Nas,1,undirected
Tabrielle,Montana of 300,1,undirected
Arcangel,Zion & Lennox,1,undirected
Kyla,Drake,1,undirected
Trae Tha Truth,B.o.B,1,undirected
Nicki Minaj,DJ Mustard,1,undirected
Sydney James Harcourt,Original Broadway Cast of Hamilton,1,undirected
Nipsey Hussle,King Lil G,1,undirected
Bizzle,H.U.R.T.,1,undirected
DJ Mustard,OT Genesis,1,undirected
Bizzle,KB,1,undirected
Boosie Badazz,C-Murder,17,undirected
Tory Lanez,Meek Mill,2,undirected
Sage The Gemini,Lookas,2,undirected
YG,Kid Ink,1,undirected
Miguel,Mac Miller,1,undirected
Smoke Dza,theMIND,1,undirected
French Montana,Nicky Jam,1,undirected
Ice Cub,The Game,1,undirected
Earl Sweatshirt,Kendrick Lamar,1,undirected
Cam O'Bi,Domo Genesis,1,undirected
Sasha Hutchings,Ephraim Sykes,1,undirected
Ty Dolla $ign,RJ,2,undirected
Problem,DJ Quik,6,undirected
E-40,Gucci Mane,1,undirected
DJ Khaled,Big Sean,2,undirected
Olivver the Kid,Skizzy Mars,1,undirected
Meek Mill,Swizz Beatz,1,undirected
Saul Williams,Haleek Maul,1,undirected
Bun B,Juicy J,1,undirected
Jakk Frost,Malik B.,1,undirected
Chuck D,Mama Ferg,1,undirected
Jadakiss,Fabolous,1,undirected
Monica,Jeezy,1,undirected
Trae Tha Truth,Quentin Miller,1,undirected
CES Cru,Bernz,1,undirected
Fetty Wap,M80,1,undirected
Nas,Raekwon,1,undirected
CES Cru,Stevie Stone,2,undirected
John Legend,DJ Mustard,1,undirected
DJ Mustard,Young Thug,1,undirected
Rick Ross,The-Dream,1,undirected
Styles P,Pete Rock,1,undirected
Abiv,Ruslan,1,undirected
Anthony Ramos,Phillipa Soo,4,undirected
Chris Brown,DJ Drama,1,undirected
Ñejo,Lui-G 21+,1,undirected
Carl Thomas,Raekwon,1,undirected
Kamaiyah,YG,1,undirected
Foxx,Wankaego,1,undirected
Freddie Gibbs,DJ Drama,1,undirected
John Legend,Common,1,undirected
LA Gun Smoke,Young Drummer Boy,2,undirected
Illuminate,Sevin,1,undirected
The Game,Trey Songz,1,undirected
Sho Baraka,Lecrae,1,undirected
Tempo,Cosculluela,1,undirected
Lavoisier,Sevin,1,undirected
Burnt Out,Duce,1,undirected
Jadakiss,Young Buck,1,undirected
George Clinton,Kendrick Lamar,1,undirected
Tamoya Bell,E-40,1,undirected
Watsky,Julia Nunes,1,undirected
Felly,Gyyps,1,undirected
DJ Luian,J Balvin,1,undirected
Skepta,A$AP Mob,1,undirected
theMIND,Dom Kennedy,1,undirected
KXNG Crooked,Mistah F.A.B.,1,undirected
Vell,Philthy Rich,1,undirected
Adam Levine,The Lonely Island,1,undirected
Wale,Wiz Khalifa,1,undirected
Lenny Cooper,Charlie Farley,1,undirected
Meyhem Lauren,Rast Rfc,1,undirected
Project Pat,Juicy J,2,undirected
Akon,Kid Ink,1,undirected
Dreezy,T-Pain,1,undirected
Webbie,Lil Trill,1,undirected
Farruko,Nengo Flow,2,undirected
The Lonely Island,Mr. Fish,1,undirected
Nipsey Hussle,RJ,1,undirected
Lil Blood,Philthy Rich,2,undirected
Jadakiss,Busta Rhymes,1,undirected
Saul Williams,Emily Kokal,1,undirected
Bun B,MJG,1,undirected
Lin-Manuel Miranda,Original Broadway Cast of Hamilton,20,undirected
CZARFACE,Psycho Les,1,undirected
Peezy,E MOZZY,1,undirected
E-40,Casey Veggies,1,undirected
Shockwave,Watsky,1,undirected
Linkin Park,The Lonely Island,1,undirected
Bun B,Z-Ro,1,undirected
Ty Dolla $ign,Mitch E-Slick,2,undirected
Colt Ford,Trailer Choir,1,undirected
TF,ScHoolboy Q,1,undirected
Kendrick Lamar,Bilal,2,undirected
Diddy,Ludacris,1,undirected
Dream Junkies,Carlene Crawford,1,undirected
Daveed Diggs,Wax,1,undirected
Jill Scott,Pusha T,1,undirected
Mozzy,Jay Rock,1,undirected
Mariam,LightShow,1,undirected
Ink,T.I.,1,undirected
Lin-Manuel Miranda,Sydney James Harcourt,1,undirected
Alexio,Farruko,1,undirected
Lil Wayne,Drake,1,undirected
Mistah F.A.B.,The Jacka,1,undirected
Joe Moses,Scheme,1,undirected
Mista Cain,Racked Up Ready,1,undirected
Sammy Adams,Madison Love,1,undirected
SZA,ScHoolboy Q,1,undirected
Jeezy,DJ Drama,1,undirected
Ari Lennox,Cozz,1,undirected
Madeintyo,Travis Scott,1,undirected
ESG,Pimp C,1,undirected
Atmosphere,Dem Atlas,1,undirected
Arcangel,Cosculluela,2,undirected
Cau2g$,Stack Bundles,1,undirected
Cosculluela,Lui-G 21+,1,undirected
Snow Tha Product,PnB Rock,1,undirected
August Alsina,Chris Brown,1,undirected
Candace Boyd,DJ Quik,1,undirected
A.G.,O.C.,1,undirected
KJ,G Mo Skee,1,undirected
Wiz Khalifa,Charlie Puth,1,undirected
Berner,Freeze,1,undirected
Rara,Meek Mill,1,undirected
MO3,deja,1,undirected
Big Sean,G-Eazy,1,undirected
Apathy,Maria Grazia,1,undirected
2 Chainz,Big Sean,1,undirected
Ty Dolla $ign,Pimp C,1,undirected
The Game,Meek Mill,1,undirected
The Jacka,J. Stalin,1,undirected
Mozzy,E MOZZY,4,undirected
Keak Da Sneak,Mistah F.A.B.,1,undirected
Upchurch,Justin Adams,1,undirected
D-Loc,TC,1,undirected
Malik,King Lil G,1,undirected
Buddy,BJ The Chicago Kid,1,undirected
Original Broadway Cast of Hamilton,Phillipa Soo,6,undirected
Moonshine Bandits,Crucifix,1,undirected
Bumpy Knuckles,Big Scoob,1,undirected
Kendo,Cosculluela,1,undirected
Marc E. Bassy,G-Eazy,1,undirected
Curren$y,Fiend,1,undirected
Micah,Sevyn Streeter,2,undirected
E-40,Kid Ink,1,undirected
Sione Toki,Jamesthemormon,1,undirected
Elena,Syd,1,undirected
DJ Khaled,Kendrick Lamar,1,undirected
The Hics,Bas,2,undirected
Q-Tip,Eric Bellinger,2,undirected
Nengo Flow,Pusho,1,undirected
Devin The Dude,Erk Tha Jerk,1,undirected
E-40,Jay 305,1,undirected
Meek Mill,Nipsey Hussle,1,undirected
Pusha T,Ludacris,1,undirected
Yo Gotti,2 Chainz,1,undirected
Sick Jacken,Maria Grazia,1,undirected
E-40,Mistah F.A.B.,2,undirected
Danny Brown,Kelela,1,undirected
Vince Staples,ScHoolboy Q,1,undirected
Dee-1,GS,1,undirected
Dave East,Sevyn Streeter,1,undirected
Bernz,Stige,2,undirected
B-Real,Snoop Dogg,1,undirected
Racket County,I4NI,1,undirected
Youngs Teflon,KSI,1,undirected
Candice Pillay,ScHoolboy Q,1,undirected
Mistah F.A.B.,Raekwon,1,undirected
Dyson,Mistah F.A.B.,2,undirected
Jadakiss,Future,1,undirected
The Game,Kanye West,2,undirected
No Fatigue,Montana of 300,2,undirected
G Mo Skee,Inf Gang,1,undirected
DJ Premier,Rick Ross,1,undirected
The Game,ScHoolboy Q,2,undirected
Drake,Gucci Mane,1,undirected
Future,King Los,1,undirected
Nicki Minaj,Wiz Khalifa,1,undirected
Vinnie Paz,Hus KingPin,1,undirected
Bandgang,Philthy Rich,1,undirected
De La Soul,Usher,1,undirected
E-40,Big Scoob,1,undirected
B-Real,B-Legit,1,undirected
Z-Ro,Mike D,1,undirected
Dr. Dre,Snoop Dogg,1,undirected
Dr. Ravi Zacharias,Da' T.R.U.T.H.,5,undirected
Ty Dolla $ign,Scheme,1,undirected
Baby Bash,King Lil G,1,undirected
October London,Snoop Dogg,1,undirected
The Game,Sonyae,4,undirected
Tech N9ne Collabos,Mackenzie Nicole,1,undirected
HG Free,Junior Maile,1,undirected
Lin-Manuel Miranda,Ariana DeBose,1,undirected
Meek Mill,21 Savage,1,undirected
Gunna,Young Thug,1,undirected
Rick Ross,DJ Khaled,2,undirected
Sadie Vada,Q-Unique,1,undirected
Boosie Badazz,Iamsu!,1,undirected
Tish Hyman,Styles P,1,undirected
CES Cru,Rittz,1,undirected
DJ Luian,Nengo Flow,2,undirected
Adam Vida,Wax,1,undirected
Ty Dolla $ign,Sevyn Streeter,1,undirected
Future,Rae Sremmurd,1,undirected
Sage The Gemini,Future,1,undirected
Big Smo,Jimmy Burney,1,undirected
Kodak Black,Rae Sremmurd,2,undirected
A$AP Rocky,James Fauntleroy,1,undirected
Roscoe Dash,Wiz Khalifa,1,undirected
Kym McCoy,Webbie,1,undirected
E-40,Stresmatic,5,undirected
Joey Jewish,Ruslan,1,undirected
The Game,Anderson .Paak,4,undirected
John Givez,Lecrae,1,undirected
Cam'Ron,Smoke Dza,1,undirected
Shell,Webbie,1,undirected
Wale,Rich Homie Quan,1,undirected
Vinnie Paz,SmooVth,1,undirected
Juicy J,Peewee Longway,1,undirected
Kevin Gates,Trey Songz,1,undirected
Square Bizzy,Al-Readii,1,undirected
G Mo Skee,Katz,1,undirected
Ty Dolla $ign,Snoop Dogg,1,undirected
Fabolous,Joe Budden,1,undirected
Conway,Skyzoo,1,undirected
Guordan Banks,Pusha T,1,undirected
JoJo,Skizzy Mars,1,undirected
Pete Rock,Dom Kennedy,1,undirected
Original Broadway Cast of Hamilton,Leslie Odom Jr.,17,undirected
Problem,Wiz Khalifa,1,undirected
Lil Wayne,DJ Drama,1,undirected
T-Gorilla,Square Bizzy,1,undirected
Syke 800,YG,1,undirected
Joe Moses,AD,2,undirected
Courtney Orlando,Sho Baraka,1,undirected
Lil Durk,Dej Loaf,1,undirected
Young Life,Freddie Gibbs,1,undirected
Paul Wall,Slim Thug,1,undirected
French Montana,Zoey Dollaz,1,undirected
Jill Scott,De La Soul,1,undirected
Diddy,King Los,2,undirected
Lex Aura,Tone ..C,1,undirected
Lin-Manuel Miranda,Jasmine Cephas-Jones,1,undirected
Chinx,MeetSims,4,undirected
Meek Mill,Lil Uzi Vert,1,undirected
iDA HAWK,Kosha Dillz,1,undirected
Ty Dolla $ign,D-Loc,1,undirected
Bernz,Kiddo,1,undirected
Wiz Khalifa,Trey Songz,1,undirected
Kool Keith,Atmosphere,1,undirected
Styles P,King Los,1,undirected
E-40,Willy Will,2,undirected
Cam'Ron,NymLo,1,undirected
Vinnie Paz,Conway,1,undirected
Meek Mill,Quavo,2,undirected
Mozzy,Lil Blood,2,undirected
Childish Gambino,Logic,1,undirected
Slim Thug,XO,1,undirected
Don Trip,Young Dolph,1,undirected
Quiñ,G-Eazy,1,undirected
Sasha Hutchings,Original Broadway Cast of Hamilton,1,undirected
Ty Dolla $ign,Big TC,1,undirected
Common,BJ The Chicago Kid,1,undirected
EMC Senatra,Cutthroat Season,2,undirected
Joell Ortiz,Nate Ruess,1,undirected
Meek Mill,Ludwig Goransson,1,undirected
Lil Blood,Iamsu!,1,undirected
Bobby V.,Mistah F.A.B.,1,undirected
August Alsina,DJ Drama,1,undirected
Hugh Augustine,Jay Rock,1,undirected
Key,A$AP Mob,1,undirected
Boosie Badazz,Mistah F.A.B.,1,undirected
The Game,Scarface,2,undirected
CZARFACE,Rast Rfc,1,undirected
Ty Dolla $ign,James Fauntleroy,1,undirected
Niña Dioz,Kosha Dillz,1,undirected
Trae Tha Truth,Audio Push,1,undirected
Trae Tha Truth,J-Dawg,1,undirected
Mozzy,Leezy Lyfe,1,undirected
DJ Khaled,Kodak Black,1,undirected
Wale,Tyga,1,undirected
Ty Dolla $ign,Brandy,1,undirected
Rara,Quavo,1,undirected
Watsky,Dumbfoundead,1,undirected
Eshon Burgundy,Parade,1,undirected
Young Thug,T.I.,2,undirected
Juvenile,Dame D.O.L.L.A,1,undirected
Lil Keke,Pimp C,2,undirected
Lin-Manuel Miranda,Dave East,1,undirected
Translee,London Jae,1,undirected
Future,A$AP Ferg,1,undirected
MO3,Hurricane Chris,1,undirected
Smoke Dza,Pete Rock,13,undirected
Sad Boy,AD,1,undirected
B.o.B,Ink,1,undirected
Ty Dolla $ign,The Game,4,undirected
DJ Luian,Wisin,1,undirected
Anthony Ramos,Christopher Jackson,2,undirected
The Game,will.i.am,6,undirected
Big Noyd,Raekwon,1,undirected
Rara,Tokyo Jetz,1,undirected
Common,Marsha Ambrosius,1,undirected
Sione Toki,Junior Maile,1,undirected
Masta Killa,Banks & Steelz,1,undirected
DJ Luian,Pusho,1,undirected
De La Soul,Roc Marciano,1,undirected
Skepta,Jme,1,undirected
Nicki Minaj,Chris Brown,1,undirected
Charlie Wilson,T.I.,1,undirected
Jazze Pha,E-40,2,undirected
Wiz Khalifa,Lil' Kim,1,undirected
J. Cole,Bas,2,undirected
Webbie,Lil Lonnie,1,undirected
Chinx,Stack Bundles,1,undirected
UGK,A$AP Rocky,1,undirected
Smoke Dza,Styles P,1,undirected
The Game,AD,3,undirected
Diddy,Lil' Kim,1,undirected
John Legend,The Roots,1,undirected
Dumbfoundead,Wax,1,undirected
Ty Dolla $ign,AD,2,undirected
E-40,Snoop Dogg,1,undirected
Mama Ferg,A$AP Ferg,1,undirected
Cardi B,Lisa Evers,1,undirected
Arcangel,Genio,2,undirected
Rick Ross,Yo Gotti,1,undirected
The Lonely Island,Seal,1,undirected
Snow Tha Product,Riz MC,1,undirected
Kool Moe Dee,Macklemore & Ryan Lewis,1,undirected
Nicki Minaj,Rick Ross,1,undirected
Busta Rhymes,Nate Ruess,1,undirected
DJ Mustard,Meek Mill,1,undirected
Stresmatic,Cousin Fik,1,undirected
Marley Blu,Syke 800,1,undirected
Banks & Steelz,Florence Welch,1,undirected
De La Soul,2 Chainz,1,undirected
Mac Miller,DJ Drama,1,undirected
French Montana,Kodak Black,1,undirected
Chris Brown,G-Eazy,1,undirected
Diddy,Wiz Khalifa,1,undirected
The Game,ShaSha,2,undirected
Lance Skiiiwalker,ScHoolboy Q,1,undirected
Bizzle,Eric C,1,undirected
Okieriete Onaodowan,Original Broadway Cast of Hamilton,7,undirected
DJ Snake,Lil Jon,1,undirected
Miguel,A$AP Rocky,1,undirected
Nas,Olu Dara,1,undirected
Riff Raff,King Chip,1,undirected
Joe Moses,TeeCee4800,1,undirected
Young Butta,Young Thug,1,undirected
Chief Keef,Travis Scott,1,undirected
Apathy,Pumpkinhead,1,undirected
Crystal Caines,Skrillex,1,undirected
Rafael Casal,Dumbfoundead,1,undirected
S Dot Braddy,$uicideBoy$,1,undirected
Mozzy,Noni Blanco,1,undirected
Trae Pound,Bloody Jay,1,undirected
DJ Khaled,2 Chainz,1,undirected
Isaiah Rashad,SZA,1,undirected
Mick Jenkins,J-Stock,1,undirected
Trae Tha Truth,Ink,2,undirected
Styles P,BJ The Chicago Kid,1,undirected
Problem,Shy Carter,1,undirected
The Game,Diddy,2,undirected
Ice Cube,will.i.am,1,undirected
Casino,Future,1,undirected
Arcangel,Pusho,1,undirected
Fetty Wap,Lil Dicky,1,undirected
Flatbush Zombies,Anthony Flammia,1,undirected
Cosculluela,Farruko,1,undirected
Yowda,Philthy Rich,1,undirected
Problem,YG,2,undirected
Berner,Wiz Khalifa,5,undirected
David Banner,Pimp C,1,undirected
Playboi Carti,A$AP Mob,2,undirected
Problem,Bad Lucc,1,undirected
Dave East,Pete Rock,1,undirected
Nicki Minaj,Yo Gotti,1,undirected
Jasmine Cephas-Jones,Leslie Odom Jr.,2,undirected
Grandmaster Melle Mel,Macklemore & Ryan Lewis,1,undirected
Tory Lanez,Fabolous,1,undirected
August Alsina,Rick Ross,1,undirected
Ty Dolla $ign,Chris Brown,1,undirected
KSI,Jme,1,undirected
Gracy,Beleaf,1,undirected
Boosie Badazz,VS,2,undirected
The Game,Fergie,2,undirected
Atmosphere,The Grouch,1,undirected
Kevin Gates,Juicy J,1,undirected
Yung Gleesh,A$AP Rocky,1,undirected
Future,Curren$y,1,undirected
A$AP Mob,Tatiana Paulino,1,undirected
Tech N9ne,JL B.Hood,1,undirected
Sad Boy,Bricc Baby,1,undirected
The Game,Shasha,2,undirected
Kacy Hill,Travis Scott,1,undirected
Rick Ross,James Fauntleroy,1,undirected
Rapsody,Kendrick Lamar,1,undirected
T.I.,DJ Drama,1,undirected
Dave East,Freddie Gibbs,1,undirected
DJ Premier,KRS-One,1,undirected
DJ Mustard,RJ,3,undirected
John Givez,JGivens,1,undirected
Future,Lil Durk,1,undirected
Boosie Badazz,Cuttyboy G Dinero,1,undirected
Apathy,Oh No,1,undirected
Dame D.O.L.L.A,Danny from Sobrante,2,undirected
August Alsina,Jeremih,1,undirected
A$AP Rocky,Offset,1,undirected
Mike Posner,E-40,1,undirected
M.I.A.,ZAYN,1,undirected
Madrox,Blaze Ya Dead Homie,1,undirected
Skepta,Novelist,1,undirected
Don Trip,Singa B.,2,undirected
2 Chainz,Gucci Mane,1,undirected
Guordan Banks,Meek Mill,1,undirected
$uicideBoy$,Germ,1,undirected
Tokyo Jetz,London Jae,1,undirected
Justin Hawkins,De La Soul,1,undirected
LightShow,A$Ap Ant,1,undirected
AD,AV,1,undirected
Ab-Soul,Earl Sweatshirt,1,undirected
A$AP Mob,Offset,1,undirected
Scheme,AD,1,undirected
Skeme,RJ,1,undirected
Casino,Diddy,1,undirected
Bubba Sparxxx,I4NI,1,undirected
Tech N9ne Collabos,Ryan Bradley,1,undirected
De La Soul,Snoop Dogg,1,undirected
Bizzle,GS,1,undirected
Bynoe,Chinx,1,undirected
Rich Homie Quan,Tyga,1,undirected
Skonie,Elzhi,1,undirected
Carlene Crawford,Ruslan,1,undirected
Boondox,Lex the Hex Master,1,undirected
Dizzy Wright,Skate Maloley,1,undirected
Twiztid,Hopsin,1,undirected
Lunar C,Tiggs Da Author,1,undirected
Fabolous,Busta Rhymes,1,undirected
Freeway,Philthy Rich,1,undirected
Styles P,Lil' Kim,1,undirected
D-Day,Tamoya Bell,1,undirected
Flynt Flossy of Turquoise Jeep,Kosha Dillz,1,undirected
Rich Homie Quan,Lil Blood,1,undirected
Txx Will,Tech N9ne,1,undirected
Diddy,Brucie B,1,undirected
Renee Elise Goldsberry,Leslie Odom Jr.,2,undirected
Tech N9ne Collabos,¡MAYDAY!,1,undirected
Future,YG,1,undirected
Derek Minor,BJ The Chicago Kid,1,undirected
E-40,AD,1,undirected
Grieves,Wax,1,undirected
Joell Ortiz,Skyzoo,1,undirected
Chris Rivers,Lex the Hex Master,1,undirected
DJ Luian,Mozart La Para,1,undirected
Casino,Pusha T,1,undirected
Atmosphere,Berner,1,undirected
Sad Boy,YG,2,undirected
Mos Def,Yams,1,undirected
Juicy J,A$AP Rocky,2,undirected
TeeCee4800,K CAMP,1,undirected
Lunar C,KSI,1,undirected
Vince Staples,Ludwig Goransson,1,undirected
Wiz Khalifa,A$AP Mob,1,undirected
Ezale,G-Eazy,1,undirected
The Lacs,I4NI,2,undirected
David Guetta,Kaz James,1,undirected
JT,King Mez,2,undirected
Aha Gazelle,Social Club Misfits,1,undirected
Chrizz Michaels,Mista Cain,2,undirected
Atmosphere,Kim Manning,1,undirected
Big Sean,Logic,1,undirected
DJ Mustard,K CAMP,1,undirected
Okieriete Onaodowan,Phillipa Soo,1,undirected
Mistah F.A.B.,Lupe Fiasco,1,undirected
Westside Gunn,Skyzoo,1,undirected
Bubba Sparxxx,J Rosevelt,1,undirected
PJ,Common,2,undirected
Danny Brown,B-Real,1,undirected
Paul Wall,Mistah F.A.B.,1,undirected
Nicky Jam,Cosculluela,2,undirected
Lin-Manuel Miranda,Thayne Jasperson,1,undirected
Method Man,Havoc,1,undirected
Starrah,G-Eazy,1,undirected
Macklemore & Ryan Lewis,Anderson .Paak,1,undirected
Montana of 300,Jalyn Sanders,3,undirected
Dj Swamp,Blaze Ya Dead Homie,3,undirected
Ty Dolla $ign,Joe Moses,3,undirected
E-40,Eric Bellinger,1,undirected
The Lacs,Hard Target,14,undirected
Rick Ross,T.I.,1,undirected
ShaSha,Q-Tip,1,undirected
K-Young,Royce Da 5'9",1,undirected
Young Thug,Jeezy,1,undirected
Mouton,Kuzzn Bank,1,undirected
8Ball,Pimp C,1,undirected
Derek Minor,Chrisette Michele,1,undirected
Kappa Gamma,Apathy,1,undirected
The Lacs,Danny Boone,1,undirected
Flo Rida,Lookas,2,undirected
Jay 305,YG,1,undirected
Lil Keke,Slim Thug,1,undirected
Mistah F.A.B.,Iamsu!,2,undirected
Freeway,Paul Wall,1,undirected
Chinaka Hodge,Dumbfoundead,1,undirected
8Ball,MJG,1,undirected
Kobe Honeycutt,Kendrick Lamar,1,undirected
Rittz,E-40,1,undirected
August Alsina,Trey Songz,1,undirected
Mitch,YG,1,undirected
I4NI,Hard Target,1,undirected
marcus wells,Que Tha Music,1,undirected
Ralo,Lil Durk,1,undirected
Bilal,Syd,1,undirected
Don Chief,Que Tha Music,1,undirected
will.i.am,Dr. Dre,2,undirected
The Game,Candace Boyd,1,undirected
Ty Dolla $ign,Travis Scott,1,undirected
Vinnie Paz,Agallah,1,undirected
Wiz Khalifa,Peewee Longway,1,undirected
Apollo Brown,Skyzoo,15,undirected
Junior Maile,Jay Warren,1,undirected
Trae Tha Truth,D. Lylez,1,undirected
Christopher Jackson,Daveed Diggs,4,undirected
Travis Scott,Big Sean,1,undirected
Machine Gun Kelly,Kid Rock,1,undirected
Krizz Kaliko,Prozak,1,undirected
Danny from Sobrante,Brookfield Duece,1,undirected
Buddy,DJ Quik,1,undirected
Corner Boy P,Fiend,1,undirected
Demoz,Agallah,1,undirected
Lil Durk,Young Thug,3,undirected
Yakki,Skeme,1,undirected
Casino,Ludacris,1,undirected
Lil Wayne,DJ Khaled,1,undirected
Paul Wall,Philthy Rich,1,undirected
