source,target,weight,type
The Game,Asia,1,undirected
Elena,Common,1,undirected
NF,Fleurie,1,undirected
Pell,Skizzy Mars,2,undirected
Abk,Blaze Ya Dead Homie,1,undirected
Adrian Marcel,Dame D.O.L.L.A,1,undirected
Mick Jenkins,Noname,1,undirected
Tyga,Kid Ink,1,undirected
Meek Mill,Pusha T,1,undirected
Young Boss,Boogie Man,1,undirected
Kari Faux,Isaiah Rashad,1,undirected
DJ Khaled,Fabolous,1,undirected
Tempo,Farruko,1,undirected
Tish Hyman,Diddy,1,undirected
E MOZZY,June,1,undirected
Future,Meek Mill,1,undirected
Trae Tha Truth,Wiz Khalifa,1,undirected
Nick Brewer,Tiggs Da Author,1,undirected
Justine Skye,Miguel,1,undirected
Hitman Beatz,Philthy Rich,1,undirected
Txx Will,Bakarii,1,undirected
will.i.am,Fergie,2,undirected
Ricco Barrino,E-40,1,undirected
Onyx,A$AP Nast,1,undirected
Fat Joe,Fabolous,1,undirected
Brotha Lynch Hung,Tech N9ne Collabos,1,undirected
Datin,Franky Bells,1,undirected
Skeme,Lil Uzi Vert,1,undirected
Vinnie Paz,Ghostface Killah,1,undirected
Fergie,Snoop Dogg,2,undirected
The Lacs,Redneck Souljers,1,undirected
Anna Wise,Bilal,2,undirected
Mistah F.A.B.,G-Eazy,1,undirected
Ramirez,Pouya,1,undirected
Chris Redd,The Lonely Island,3,undirected
Wiz Khalifa,Snoop Dogg,4,undirected
The Lacs,Demun Jones,2,undirected
Wiz Khalifa,Tm88,16,undirected
Demun Jones,Moccasin Creek,1,undirected
A$AP Mob,A$Ap Ant,3,undirected
Kirko Bangz,Lil Lonnie,1,undirected
Nicky Jam,J Balvin,1,undirected
Stacy Barthe,Joe Budden,1,undirected
Phillipa Soo,Daveed Diggs,1,undirected
theMIND,Big K.R.I.T.,1,undirected
Jasmine Cephas-Jones,Original Broadway Cast of Hamilton,2,undirected
Mak Digg,Queen D,1,undirected
Juicy J,"Tyler, The Creator",1,undirected
Apathy,O.C.,2,undirected
Flex Mathews,Kosha Dillz,1,undirected
Sheek Louch,Young Buck,1,undirected
Rick Ross,CeeLo Green,1,undirected
Big Lenbo,Logic,1,undirected
Mitch E-Slick,Skeme,1,undirected
Young Scooter,YFN Lucci,1,undirected
Isaiah Rashad,Syd,1,undirected
Bynoe,Cau2g$,1,undirected
Nicky Jam,DJ Luian,1,undirected
Jadakiss,Jeezy,1,undirected
Bizzle,Jonathan McReynolds,1,undirected
Ralo,Trouble,1,undirected
DJ Khaled,Yo Gotti,1,undirected
$uicideBoy$,Pouya,2,undirected
Idaho Jdoe,Mistah F.A.B.,1,undirected
Sevin,Franky Bells,1,undirected
The R.O.C.,Lex the Hex Master,1,undirected
Jadakiss,Chayse,1,undirected
AD,YG,1,undirected
Jadakiss,ScHoolboy Q,1,undirected
Traffic,ScHoolboy Q,1,undirected
Devvon Terrell,Futuristic,13,undirected
Curren$y,Wiz Khalifa,2,undirected
Slim Thug,Pimp C,1,undirected
Carl Thomas,G-Eazy,1,undirected
Rich Homie Quan,Iamsu!,1,undirected
DJ Khaled,French Montana,1,undirected
Lenny Cooper,Noah Gordon,1,undirected
Jamie Foxx,Trey Songz,1,undirected
DJ Khaled,Kent Jones,1,undirected
Mistah F.A.B.,J. Stalin,1,undirected
Atmosphere,Mistah F.A.B.,1,undirected
Miguel,Rod Stewart,1,undirected
Britt Nicole,NF,1,undirected
Project Pat,Berner,1,undirected
TeeCee4800,YG,1,undirected
Randy Nota Loca,Cosculluela,1,undirected
The Game,E-40,2,undirected
Mozzy,Young Mezzy,1,undirected
Lecrae,Jackie Hill Perry,1,undirected
The Weeknd,Meek Mill,1,undirected
Playboi Carti,A$Ap Ant,1,undirected
Darrein Safron,Rittz,1,undirected
Grandmaster Caz,Eric Nally,1,undirected
Mike Slap,Macklemore & Ryan Lewis,1,undirected
Correy C,Cozz,1,undirected
Arcangel,Nengo Flow,2,undirected
W. Darling,Snow Tha Product,1,undirected
Boondox,Blaze Ya Dead Homie,2,undirected
A$AP Mob,A$AP Ferg,2,undirected
Stalley,Skyzoo,1,undirected
7deucedeuce,Dj Tank,2,undirected
Mozzy,Philthy Rich,3,undirected
Rick Rock,E-40,1,undirected
JP Cali,Wiz Khalifa,1,undirected
Jazze Pha,Snoop Dogg,1,undirected
Trae Tha Truth,Lil Duval,1,undirected
Tha Dogg Pound,ScHoolboy Q,1,undirected
Dustin Rhodes,Lenny Cooper,1,undirected
Bernz,Murs,2,undirected
Skepta,Young L.O.R.D.,1,undirected
Demrick,B-Legit,1,undirected
